payment_id,order_id,transaction_amount,razorpay_fee,net_payout,status,payout_date
pay_e82a72b01606,ORD-2026-00107,1346.75,26.94,1319.81,captured,2026-08-08 19:28:00
pay_29163f63a21b,ORD-2026-00108,13416.8,268.34,13148.46,captured,2026-08-09 21:20:00
pay_d6b8190f5fad,ORD-2026-00109,10470.46,209.41,10261.05,captured,2026-08-05 08:24:00
pay_cdb7be515e74,ORD-2026-00110,8230.64,164.61,8066.03,captured,2026-08-14 21:21:00
pay_93b44352b373,ORD-2026-00111,13591.61,271.83,13319.78,captured,2026-08-07 22:24:00
pay_5b66b66af758,ORD-2026-00112,7259.3,145.19,7114.11,captured,2026-08-29 23:24:00
pay_4ef47487cbb4,ORD-2026-00113,13396.29,267.93,13128.36,captured,2026-08-25 15:54:00
pay_e740783966bf,ORD-2026-00114,12038.05,240.76,11797.29,captured,2026-08-25 06:34:00
pay_e61972b978e9,ORD-2026-00115,7387.5,147.75,7239.75,captured,2026-08-08 10:27:00
pay_3dba16473baa,ORD-2026-00116,6183.89,123.68,6060.21,captured,2026-08-23 08:51:00
pay_bbe167d97e07,ORD-2026-00117,8105.03,162.1,7942.93,captured,2026-08-15 10:39:00
pay_c7043921e5ba,ORD-2026-00118,1442.42,28.85,1413.57,captured,2026-08-19 23:01:00
pay_7856d4a8dbe6,ORD-2026-00119,944.21,18.88,925.33,captured,2026-08-28 18:11:00
pay_610520702455,ORD-2026-00120,5195.01,103.9,5091.11,captured,2026-08-08 00:20:00
pay_638df86d239a,ORD-2026-00122,14998.64,299.97,14698.67,captured,2026-08-24 18:03:00
pay_85a56349979c,ORD-2026-00123,14367.83,287.36,14080.47,captured,2026-08-21 03:49:00
pay_aa7943fec943,ORD-2026-00124,12620.59,441.72,12178.87,captured,2026-08-01 13:12:00
pay_d4deec08daa4,ORD-2026-00125,1892.96,37.86,1855.1,captured,2026-08-05 20:42:00
pay_39a45a5ec2c1,ORD-2026-00126,5659.65,113.19,5546.46,captured,2026-08-23 15:49:00
pay_d379e6a83844,ORD-2026-00127,1799.86,36.0,1763.86,captured,2026-08-27 07:19:00
pay_a5fcd2dcac78,ORD-2026-00128,14380.96,287.62,14093.34,captured,2026-08-20 06:58:00
pay_43cf412a126b,ORD-2026-00129,10421.09,208.42,10212.67,captured,2026-08-07 09:37:00
pay_777473bf12c7,ORD-2026-00130,10327.03,361.45,9965.58,captured,2026-08-23 12:54:00
pay_2ff19ba57667,ORD-2026-00131,8084.63,161.69,7922.94,captured,2026-08-19 03:22:00
pay_5e4780757f02,ORD-2026-00132,387.25,7.75,379.5,captured,2026-08-18 07:21:00
pay_e1e1339c8b45,ORD-2026-00133,14419.66,288.39,14131.27,captured,2026-08-16 12:27:00
pay_06b2a9cd9176,ORD-2026-00134,11060.17,221.2,10838.97,captured,2026-08-05 19:11:00
pay_56690a26331f,ORD-2026-00135,7355.76,147.12,7208.64,captured,2026-08-27 03:49:00
pay_15160bd377c4,ORD-2026-00136,4970.11,99.4,4870.71,captured,2026-08-25 05:17:00
pay_0817ec4e61e5,ORD-2026-00137,13248.14,264.96,12983.18,captured,2026-08-30 04:17:00
pay_8cd12aedf872,ORD-2026-00138,10089.19,201.78,9887.41,captured,2026-08-15 20:39:00
pay_eb45887001bb,ORD-2026-00139,7415.74,148.31,7267.43,captured,2026-08-16 19:11:00
pay_c185c6b5542e,ORD-2026-00140,13228.74,264.57,12964.17,captured,2026-08-09 18:17:00
pay_e618b6e8f3a3,ORD-2026-00141,1467.07,29.34,1437.73,captured,2026-08-01 19:12:00
pay_4f6c690facf8,ORD-2026-00142,7246.18,144.92,7101.26,captured,2026-08-18 09:44:00
pay_eba6e9c2cf10,ORD-2026-00143,4554.69,91.09,4463.6,captured,2026-08-26 08:05:00
pay_5689d80a0b49,ORD-2026-00144,8807.02,176.14,8630.88,captured,2026-08-08 12:42:00
pay_98e88a16e1c8,ORD-2026-00145,14950.15,299.0,14651.15,captured,2026-08-17 17:27:00
pay_f5c33a82ea38,ORD-2026-00146,4738.02,94.76,4643.26,captured,2026-08-24 01:17:00
pay_9cdb76cbde9c,ORD-2026-00147,1969.41,39.39,1930.02,captured,2026-08-24 12:20:00
pay_27832cf8bf2f,ORD-2026-00148,4292.19,85.84,4206.35,captured,2026-08-08 04:30:00
pay_4999d3c5eb52,ORD-2026-00149,3566.75,124.84,3441.91,captured,2026-08-27 17:18:00
pay_39436508bce0,ORD-2026-00150,2073.43,41.47,2031.96,captured,2026-08-02 07:34:00
pay_df7547cb24c7,ORD-2026-00152,4408.22,88.16,4320.06,captured,2026-08-28 07:36:00
pay_8eee8216ea5e,ORD-2026-00153,3936.68,78.73,3857.95,captured,2026-08-11 16:03:00
pay_b54c2e1f7e76,ORD-2026-00154,7477.85,149.56,7328.29,captured,2026-08-27 10:25:00
pay_5eaa6b4ec8e1,ORD-2026-00155,1460.68,29.21,1431.47,captured,2026-08-06 01:19:00
pay_003623a90486,ORD-2026-00156,9022.68,180.45,8842.23,captured,2026-08-18 19:38:00
pay_95b7b41c2ec9,ORD-2026-00157,13645.86,272.92,13372.94,captured,2026-08-18 00:28:00
pay_74e8ec1fd268,ORD-2026-00158,8615.72,301.55,8314.17,captured,2026-08-19 16:19:00
pay_3e7ae3b4672d,ORD-2026-00159,14224.33,284.49,13939.84,captured,2026-09-01 09:06:00
pay_fbd5839fa24b,ORD-2026-00160,1401.57,28.03,1373.54,captured,2026-08-07 14:42:00
pay_742a21a23ee5,ORD-2026-00161,239.6,4.79,234.81,captured,2026-08-18 06:10:00
pay_1d534e3e7438,ORD-2026-00162,683.07,13.66,669.41,captured,2026-08-20 20:18:00
pay_64b7e0ec0287,ORD-2026-00163,6919.66,138.39,6781.27,captured,2026-08-11 03:55:00
pay_ca8feb53713e,ORD-2026-00164,9985.51,199.71,9785.8,captured,2026-08-27 03:37:00
pay_d63cc7221449,ORD-2026-00165,9784.99,195.7,9589.29,captured,2026-08-04 18:14:00
pay_0c2e391e7a5c,ORD-2026-00166,2655.66,53.11,2602.55,captured,2026-08-05 07:03:00
pay_d1d8e43584d4,ORD-2026-00167,4471.44,89.43,4382.01,captured,2026-08-25 02:58:00
pay_e9b3cc3628f8,ORD-2026-00168,6157.13,123.14,6033.99,captured,2026-08-23 16:44:00
pay_6044f2700172,ORD-2026-00169,1390.54,27.81,1362.73,captured,2026-08-18 16:28:00
pay_73cc0e05e401,ORD-2026-00170,3905.44,78.11,3827.33,captured,2026-08-24 22:38:00
pay_5fb715afcb1f,ORD-2026-00171,12935.65,258.71,12676.94,captured,2026-09-01 09:53:00
pay_e109e8253d9f,ORD-2026-00172,795.43,15.91,779.52,captured,2026-08-22 11:36:00
pay_f554852a04e3,ORD-2026-00173,13757.88,275.16,13482.72,captured,2026-08-18 02:28:00
pay_59ba4badf2b6,ORD-2026-00174,7477.54,149.55,7327.99,captured,2026-08-15 05:52:00
pay_6bcd9ce7953b,ORD-2026-00175,4951.66,99.03,4852.63,captured,2026-08-12 16:21:00
pay_479e43b0fc5f,ORD-2026-00176,10466.37,209.33,10257.04,captured,2026-08-06 11:26:00
pay_562861a3484a,ORD-2026-00177,11455.4,229.11,11226.29,captured,2026-08-31 21:52:00
pay_ad2c25057b0c,ORD-2026-00178,4984.45,99.69,4884.76,captured,2026-08-03 14:16:00
pay_e66fa02a3c39,ORD-2026-00179,13066.64,261.33,12805.31,captured,2026-08-17 01:42:00
pay_5c2831f38d25,ORD-2026-00180,5554.33,111.09,5443.24,captured,2026-08-02 11:33:00
pay_c4025c41dc29,ORD-2026-00181,4152.43,83.05,4069.38,captured,2026-08-15 12:13:00
pay_d8a3f3247b67,ORD-2026-00182,1997.11,39.94,1957.17,captured,2026-08-16 07:31:00
pay_1c341f4cfcbc,ORD-2026-00183,402.38,8.05,394.33,captured,2026-08-06 12:35:00
pay_1bf1f9f8844e,ORD-2026-00184,14216.5,284.33,13932.17,captured,2026-08-08 06:29:00
pay_d8dbeeafc1f2,ORD-2026-00185,7731.31,154.63,7576.68,captured,2026-08-31 10:18:00
pay_46cef6a9ea30,ORD-2026-00186,3807.22,76.14,3731.08,captured,2026-08-27 17:30:00
pay_82bc55c974b7,ORD-2026-00187,11245.13,224.9,11020.23,captured,2026-08-08 06:32:00
pay_67af52507f93,ORD-2026-00189,12344.13,246.88,12097.25,captured,2026-08-31 02:17:00
pay_73b34fd28f7d,ORD-2026-00190,14983.75,299.68,14684.07,captured,2026-08-11 04:37:00
pay_1fb183e3fd83,ORD-2026-00191,7368.25,147.37,7220.88,captured,2026-08-05 18:34:00
pay_715f4649e99d,ORD-2026-00192,6939.1,138.78,6800.32,captured,2026-08-25 21:24:00
pay_286cfa27fcd1,ORD-2026-00193,8662.61,173.25,8489.36,captured,2026-08-08 06:15:00
pay_dbbec8a14196,ORD-2026-00194,4909.01,98.18,4810.83,captured,2026-08-26 01:02:00
pay_ffd87d3a4d03,ORD-2026-00195,14828.53,296.57,14531.96,captured,2026-08-30 21:24:00
pay_4a95f49eac8d,ORD-2026-00196,7633.91,152.68,7481.23,captured,2026-08-31 08:08:00
pay_9ba275308846,ORD-2026-00197,7984.08,0.0,0.0,failed,2026-08-04 21:06:00
pay_86407bae0335,ORD-2026-00198,13089.81,261.8,12828.01,captured,2026-08-24 13:26:00
pay_6bc5bdda9c62,ORD-2026-00199,9424.24,188.48,9235.76,captured,2026-08-16 18:21:00
pay_29f8b77ebb73,ORD-2026-00200,10180.49,203.61,9976.88,captured,2026-08-03 14:54:00
pay_3fde4f1aee30,ORD-2026-00201,11439.15,228.78,11210.37,captured,2026-08-22 08:56:00
pay_37f82341b3f0,ORD-2026-00202,10329.11,206.58,10122.53,captured,2026-08-03 19:40:00
pay_8c92a8bc20bc,ORD-2026-00203,14679.4,293.59,14385.81,captured,2026-08-24 09:27:00
pay_5ba8e69567c9,ORD-2026-00204,13570.68,271.41,13299.27,captured,2026-08-07 00:19:00
pay_6f8992e7aeae,ORD-2026-00205,5505.26,110.11,5395.15,captured,2026-08-26 12:18:00
pay_ec94e3d2d552,ORD-2026-00206,8575.74,171.51,8404.23,captured,2026-08-08 22:26:00
pay_1a7142b255bc,ORD-2026-00207,13088.43,261.77,12826.66,captured,2026-08-06 13:39:00
pay_cf15dbe579bc,ORD-2026-00208,3636.39,72.73,3563.66,captured,2026-08-31 03:09:00
pay_d06d52f1af24,ORD-2026-00209,13503.85,270.08,13233.77,captured,2026-08-10 09:00:00
pay_ceecd9433e23,ORD-2026-00210,1293.16,25.86,1267.3,captured,2026-08-22 23:10:00
pay_66aca5b7fda5,ORD-2026-00211,10416.64,208.33,10208.31,captured,2026-08-11 00:27:00
pay_b1d6830009d9,ORD-2026-00212,12829.36,256.59,12572.77,captured,2026-08-10 13:24:00
pay_72babe35abc8,ORD-2026-00213,8707.22,174.14,8533.08,captured,2026-08-13 21:22:00
pay_b2350c6e4869,ORD-2026-00214,4262.31,85.25,4177.06,captured,2026-08-27 23:25:00
pay_58620bad9ef7,ORD-2026-00215,13581.5,271.63,13309.87,captured,2026-08-24 18:53:00
pay_cc5873a7af96,ORD-2026-00216,12068.59,241.37,11827.22,captured,2026-08-26 15:38:00
pay_e8e4e07763bb,ORD-2026-00217,10230.91,204.62,10026.29,captured,2026-08-07 21:16:00
pay_5dca4f12b653,ORD-2026-00218,783.45,15.67,767.78,captured,2026-08-05 07:41:00
pay_d2a82589f97a,ORD-2026-00219,2144.89,42.9,2101.99,captured,2026-08-19 17:46:00
pay_bf5170f20f05,ORD-2026-00220,3171.76,63.44,3108.32,captured,2026-08-24 18:11:00
pay_58f56c5f5392,ORD-2026-00222,5212.99,104.26,5108.73,captured,2026-08-11 00:55:00
pay_8860a0b91317,ORD-2026-00223,11361.44,227.23,11134.21,captured,2026-08-31 12:09:00
pay_a5c92e4364fe,ORD-2026-00224,14703.15,0.0,0.0,failed,2026-08-23 08:43:00
pay_72a277d79e3b,ORD-2026-00225,4113.99,82.28,4031.71,captured,2026-08-26 13:00:00
pay_6a0c737c2e77,ORD-2026-00226,10150.64,203.01,9947.63,captured,2026-08-13 01:47:00
pay_c51a7af9fe61,ORD-2026-00227,10187.58,203.75,9983.83,captured,2026-08-21 17:06:00
pay_d74221a7a8fc,ORD-2026-00228,13745.79,274.92,13470.87,captured,2026-08-20 20:20:00
pay_1a3fbea5e1b3,ORD-2026-00229,7071.16,141.42,6929.74,captured,2026-08-04 02:52:00
pay_e71823df51e6,ORD-2026-00230,871.13,17.42,853.71,captured,2026-08-14 11:08:00
pay_d2a0afd0262e,ORD-2026-00231,3675.04,73.5,3601.54,captured,2026-08-16 08:06:00
pay_04fabd490bff,ORD-2026-00232,14250.84,285.02,13965.82,captured,2026-08-15 16:42:00
pay_da081b64fb3e,ORD-2026-00233,13304.12,266.08,13038.04,captured,2026-08-25 09:09:00
pay_5f4058cb1710,ORD-2026-00234,14097.99,281.96,13816.03,captured,2026-08-17 03:26:00
pay_05119aec509b,ORD-2026-00235,6762.07,135.24,6626.83,captured,2026-08-23 16:13:00
pay_b59c4aa0047f,ORD-2026-00236,5636.56,112.73,5523.83,captured,2026-08-12 10:43:00
pay_90ea427b8ecd,ORD-2026-00237,14529.46,290.59,14238.87,captured,2026-08-13 10:12:00
pay_54b638800e82,ORD-2026-00238,9664.5,193.29,9471.21,captured,2026-08-22 11:41:00
pay_07652c0b70e7,ORD-2026-00239,14834.55,296.69,14537.86,captured,2026-08-26 21:15:00
pay_91113b8a8610,ORD-2026-00240,8878.47,177.57,8700.9,captured,2026-08-27 19:13:00
pay_11473cc5f318,ORD-2026-00241,13527.86,270.56,13257.3,captured,2026-08-25 10:50:00
pay_c4d2b5e10a48,ORD-2026-00242,8195.19,163.9,8031.29,captured,2026-08-28 07:08:00
pay_425351576a81,ORD-2026-00243,419.93,8.4,411.53,captured,2026-08-22 01:08:00
pay_6dd02b4e195a,ORD-2026-00244,4127.44,83.64,4043.8,captured,2026-08-11 06:11:00
pay_9e4a8bfae725,ORD-2026-00245,11235.85,224.72,11011.13,captured,2026-08-15 02:07:00
pay_0409109730bb,ORD-2026-00246,8986.26,179.73,8806.53,captured,2026-08-25 23:32:00
pay_c7e984372240,ORD-2026-00247,10963.2,219.26,10743.94,captured,2026-08-08 21:02:00
pay_7eca8705fce1,ORD-2026-00248,14979.08,299.58,14679.5,captured,2026-08-21 07:03:00
pay_f456ca559618,ORD-2026-00249,10743.54,214.87,10528.67,captured,2026-08-22 11:31:00
pay_167d4f9d1881,ORD-2026-00250,9202.8,184.06,9018.74,captured,2026-08-29 04:20:00
pay_dc768acb6b1a,ORD-2026-00251,8863.4,177.27,8686.13,captured,2026-08-09 23:40:00
pay_eb04b91bd6f1,ORD-2026-00252,6914.99,138.3,6776.69,captured,2026-08-21 02:18:00
pay_08a9786174ce,ORD-2026-00253,12821.33,256.43,12564.9,captured,2026-08-27 05:07:00
pay_10e5db381913,ORD-2026-00254,5216.19,104.32,5111.87,captured,2026-08-15 13:26:00
pay_32b17742ab0c,ORD-2026-00255,4825.72,96.51,4729.21,captured,2026-08-15 06:06:00
pay_28f0f66f0ad1,ORD-2026-00256,10364.95,207.3,10157.65,captured,2026-08-09 18:09:00
pay_138e38713b24,ORD-2026-00257,6591.77,131.84,6459.93,captured,2026-08-03 03:05:00
pay_8830386070a8,ORD-2026-00258,8879.68,177.59,8702.09,captured,2026-08-06 04:03:00
pay_695cb146bd29,ORD-2026-00259,13129.39,262.59,12866.8,captured,2026-08-04 23:22:00
pay_99c117c314aa,ORD-2026-00260,14532.3,290.65,14241.65,captured,2026-08-31 02:03:00
pay_a92d4e84157a,ORD-2026-00261,3348.53,66.97,3281.56,captured,2026-08-05 01:32:00
pay_07a8d0ca6cb2,ORD-2026-00262,12711.53,254.23,12457.3,captured,2026-08-28 09:22:00
pay_0b307a7f3120,ORD-2026-00263,3547.15,124.15,3423.0,captured,2026-08-25 20:36:00
pay_4df5128165eb,ORD-2026-00264,10189.66,203.79,9985.87,captured,2026-08-18 21:39:00
pay_60b9ef1b2b98,ORD-2026-00265,10463.37,209.27,10254.1,captured,2026-08-31 09:53:00
pay_6bd7ea80c12a,ORD-2026-00266,4772.97,95.46,4677.51,captured,2026-08-10 01:48:00
pay_cbd2480e6445,ORD-2026-00267,2320.12,46.4,2273.72,captured,2026-08-01 11:55:00
pay_c4ee17a0d338,ORD-2026-00268,14582.79,291.66,14291.13,captured,2026-08-06 06:40:00
pay_d47df216a7c5,ORD-2026-00269,6413.52,128.27,6285.25,captured,2026-08-17 10:24:00
pay_bbcd8bbcaebe,ORD-2026-00270,5000.87,100.02,4900.85,captured,2026-08-12 15:46:00
pay_6974fedf31ae,ORD-2026-00271,9344.01,186.88,9157.13,captured,2026-08-05 10:48:00
pay_7542191b054d,ORD-2026-00272,7387.79,147.76,7240.03,captured,2026-08-16 01:27:00
pay_08d18d9374d9,ORD-2026-00273,7782.73,155.65,7627.08,captured,2026-08-09 08:48:00
pay_c9b79b2f9dc7,ORD-2026-00274,10241.6,204.83,10036.77,captured,2026-08-04 20:43:00
pay_4209108d16b8,ORD-2026-00275,3463.67,69.27,3394.4,captured,2026-08-22 11:02:00
