bank_settlement_id,deposited_amount,settlement_date,description
BANK-TXN-10082,5209.85,2026-08-06,Razorpay Settlement for pay_a5d2b7eee0e5
BANK-TXN-10083,5782.87,2026-08-21,Razorpay Settlement for pay_73bc9d43b157
BANK-TXN-10084,220.53,2026-08-04,Razorpay Settlement for pay_1b0b8c191ed5
BANK-TXN-10085,13550.86,2026-08-15,Razorpay Settlement for pay_68a2569c310a
BANK-TXN-10086,13250.28,2026-08-29,Razorpay Settlement for pay_e524c0830b5d
BANK-TXN-10087,10308.31,2026-08-15,Razorpay Settlement for pay_642dbe01e6c8
BANK-TXN-10088,10019.82,2026-08-16,Razorpay Settlement for pay_24cc7e3bc675
BANK-TXN-10089,8143.28,2026-08-20,Razorpay Settlement for pay_9faea3bf98ec
BANK-TXN-10090,11592.65,2026-08-11,Razorpay Settlement for pay_42960ecdd891
BANK-TXN-10091,9751.97,2026-08-31,Razorpay Settlement for pay_fdc4bc2ff62f
BANK-TXN-10092,5057.57,2026-08-23,Razorpay Settlement for pay_79db8d593a02
BANK-TXN-10093,3058.08,2026-08-11,Razorpay Settlement for pay_77ea7b0cbdfc
BANK-TXN-10094,12520.6,2026-08-09,Razorpay Settlement for pay_a0620843fb55
BANK-TXN-10095,3016.09,2026-08-16,Razorpay Settlement for pay_b36045f0bf7a
BANK-TXN-10096,6362.32,2026-08-29,Razorpay Settlement for pay_df25524dd6f3
BANK-TXN-10097,6933.83,2026-09-02,Razorpay Settlement for pay_3f4d1ac62230
BANK-TXN-10098,11819.75,2026-08-05,Razorpay Settlement for pay_ffa1483189f0
BANK-TXN-10099,13209.11,2026-09-01,Razorpay Settlement for pay_a123079dc98f
BANK-TXN-10100,9444.64,2026-08-10,Razorpay Settlement for pay_93b888cbea95
BANK-TXN-10101,1319.81,2026-08-09,Razorpay Settlement for pay_e82a72b01606
BANK-TXN-10102,13088.21,2026-08-10,Razorpay Settlement for pay_29163f63a21b
BANK-TXN-10103,10261.05,2026-08-06,Razorpay Settlement for pay_d6b8190f5fad
BANK-TXN-10104,8066.03,2026-08-15,Razorpay Settlement for pay_cdb7be515e74
BANK-TXN-10105,13319.78,2026-08-08,Razorpay Settlement for pay_93b44352b373
BANK-TXN-10106,7114.11,2026-08-30,Razorpay Settlement for pay_5b66b66af758
BANK-TXN-10107,13128.36,2026-08-26,Razorpay Settlement for pay_4ef47487cbb4
BANK-TXN-10108,11797.29,2026-08-26,Razorpay Settlement for pay_e740783966bf
BANK-TXN-10109,7239.75,2026-08-09,Razorpay Settlement for pay_e61972b978e9
BANK-TXN-10110,6060.21,2026-08-24,Razorpay Settlement for pay_3dba16473baa
BANK-TXN-10111,7942.93,2026-08-16,Razorpay Settlement for pay_bbe167d97e07
BANK-TXN-10112,1329.48,2026-08-20,Razorpay Settlement for pay_c7043921e5ba
BANK-TXN-10113,925.33,2026-08-29,Razorpay Settlement for pay_7856d4a8dbe6
BANK-TXN-10114,5091.11,2026-08-09,Razorpay Settlement for pay_610520702455
BANK-TXN-10115,14698.67,2026-08-25,Razorpay Settlement for pay_638df86d239a
BANK-TXN-10116,14080.47,2026-08-22,Razorpay Settlement for pay_85a56349979c
BANK-TXN-10117,12178.87,2026-08-02,Razorpay Settlement for pay_aa7943fec943
BANK-TXN-10118,1855.1,2026-08-06,Razorpay Settlement for pay_d4deec08daa4
BANK-TXN-10119,5546.46,2026-08-24,Razorpay Settlement for pay_39a45a5ec2c1
BANK-TXN-10120,1763.86,2026-08-28,Razorpay Settlement for pay_d379e6a83844
BANK-TXN-10121,13999.58,2026-08-21,Razorpay Settlement for pay_a5fcd2dcac78
BANK-TXN-10122,10212.67,2026-08-08,Razorpay Settlement for pay_43cf412a126b
BANK-TXN-10123,9965.58,2026-08-24,Razorpay Settlement for pay_777473bf12c7
BANK-TXN-10124,7922.94,2026-08-20,Razorpay Settlement for pay_2ff19ba57667
BANK-TXN-10125,379.5,2026-08-19,Razorpay Settlement for pay_5e4780757f02
BANK-TXN-10126,14131.27,2026-08-17,Razorpay Settlement for pay_e1e1339c8b45
BANK-TXN-10127,10838.97,2026-08-06,Razorpay Settlement for pay_06b2a9cd9176
BANK-TXN-10128,7208.64,2026-08-28,Razorpay Settlement for pay_56690a26331f
BANK-TXN-10129,4870.71,2026-08-26,Razorpay Settlement for pay_15160bd377c4
BANK-TXN-10130,12983.18,2026-08-31,Razorpay Settlement for pay_0817ec4e61e5
BANK-TXN-10131,9887.41,2026-08-16,Razorpay Settlement for pay_8cd12aedf872
BANK-TXN-10132,7267.43,2026-08-17,Razorpay Settlement for pay_eb45887001bb
BANK-TXN-10133,12964.17,2026-08-10,Razorpay Settlement for pay_c185c6b5542e
BANK-TXN-10134,1437.73,2026-08-02,Razorpay Settlement for pay_e618b6e8f3a3
BANK-TXN-10135,7101.26,2026-08-19,Razorpay Settlement for pay_4f6c690facf8
BANK-TXN-10136,4463.6,2026-08-27,Razorpay Settlement for pay_eba6e9c2cf10
BANK-TXN-10137,8630.88,2026-08-09,Razorpay Settlement for pay_5689d80a0b49
BANK-TXN-10138,14651.15,2026-08-18,Razorpay Settlement for pay_98e88a16e1c8
BANK-TXN-10139,4643.26,2026-08-25,Razorpay Settlement for pay_f5c33a82ea38
BANK-TXN-10140,1930.02,2026-08-25,Razorpay Settlement for pay_9cdb76cbde9c
BANK-TXN-10141,4206.35,2026-08-09,Razorpay Settlement for pay_27832cf8bf2f
BANK-TXN-10142,3441.91,2026-08-28,Razorpay Settlement for pay_4999d3c5eb52
BANK-TXN-10143,2031.96,2026-08-03,Razorpay Settlement for pay_39436508bce0
BANK-TXN-10144,4320.06,2026-08-29,Razorpay Settlement for pay_df7547cb24c7
BANK-TXN-10145,3857.95,2026-08-12,Razorpay Settlement for pay_8eee8216ea5e
BANK-TXN-10146,7328.29,2026-08-28,Razorpay Settlement for pay_b54c2e1f7e76
BANK-TXN-10147,1431.47,2026-08-07,Razorpay Settlement for pay_5eaa6b4ec8e1
BANK-TXN-10148,8842.23,2026-08-19,Razorpay Settlement for pay_003623a90486
BANK-TXN-10149,13372.94,2026-08-19,Razorpay Settlement for pay_95b7b41c2ec9
BANK-TXN-10150,8314.17,2026-08-20,Razorpay Settlement for pay_74e8ec1fd268
BANK-TXN-10151,13939.84,2026-09-02,Razorpay Settlement for pay_3e7ae3b4672d
BANK-TXN-10152,1373.54,2026-08-08,Razorpay Settlement for pay_fbd5839fa24b
BANK-TXN-10153,234.81,2026-08-19,Razorpay Settlement for pay_742a21a23ee5
BANK-TXN-10154,669.41,2026-08-21,Razorpay Settlement for pay_1d534e3e7438
BANK-TXN-10155,6781.27,2026-08-12,Razorpay Settlement for pay_64b7e0ec0287
BANK-TXN-10156,9785.8,2026-08-28,Razorpay Settlement for pay_ca8feb53713e
BANK-TXN-10157,9589.29,2026-08-05,Razorpay Settlement for pay_d63cc7221449
BANK-TXN-10158,2602.55,2026-08-06,Razorpay Settlement for pay_0c2e391e7a5c
BANK-TXN-10159,4382.01,2026-08-26,Razorpay Settlement for pay_d1d8e43584d4
BANK-TXN-10160,6033.99,2026-08-24,Razorpay Settlement for pay_e9b3cc3628f8
BANK-TXN-10161,1362.73,2026-08-19,Razorpay Settlement for pay_6044f2700172
BANK-TXN-10162,3827.33,2026-08-25,Razorpay Settlement for pay_73cc0e05e401
BANK-TXN-10163,12676.94,2026-09-02,Razorpay Settlement for pay_5fb715afcb1f
BANK-TXN-10164,779.52,2026-08-23,Razorpay Settlement for pay_e109e8253d9f
BANK-TXN-10165,13482.72,2026-08-19,Razorpay Settlement for pay_f554852a04e3
BANK-TXN-10166,7327.99,2026-08-16,Razorpay Settlement for pay_59ba4badf2b6
BANK-TXN-10167,4852.63,2026-08-13,Razorpay Settlement for pay_6bcd9ce7953b
BANK-TXN-10168,10257.04,2026-08-07,Razorpay Settlement for pay_479e43b0fc5f
BANK-TXN-10169,11226.29,2026-09-01,Razorpay Settlement for pay_562861a3484a
BANK-TXN-10170,4811.65,2026-08-04,Razorpay Settlement for pay_ad2c25057b0c
BANK-TXN-10171,12805.31,2026-08-18,Razorpay Settlement for pay_e66fa02a3c39
BANK-TXN-10172,5443.24,2026-08-03,Razorpay Settlement for pay_5c2831f38d25
BANK-TXN-10173,4069.38,2026-08-16,Razorpay Settlement for pay_c4025c41dc29
BANK-TXN-10174,1914.48,2026-08-17,Razorpay Settlement for pay_d8a3f3247b67
BANK-TXN-10175,394.33,2026-08-07,Razorpay Settlement for pay_1c341f4cfcbc
BANK-TXN-10176,13932.17,2026-08-09,Razorpay Settlement for pay_1bf1f9f8844e
BANK-TXN-10177,7576.68,2026-09-01,Razorpay Settlement for pay_d8dbeeafc1f2
BANK-TXN-10178,3731.08,2026-08-28,Razorpay Settlement for pay_46cef6a9ea30
BANK-TXN-10179,11020.23,2026-08-09,Razorpay Settlement for pay_82bc55c974b7
BANK-TXN-10180,12097.25,2026-09-01,Razorpay Settlement for pay_67af52507f93
BANK-TXN-10181,14684.07,2026-08-12,Razorpay Settlement for pay_73b34fd28f7d
BANK-TXN-10182,7220.88,2026-08-06,Razorpay Settlement for pay_1fb183e3fd83
BANK-TXN-10183,6800.32,2026-08-26,Razorpay Settlement for pay_715f4649e99d
BANK-TXN-10184,8489.36,2026-08-09,Razorpay Settlement for pay_286cfa27fcd1
BANK-TXN-10185,4810.83,2026-08-27,Razorpay Settlement for pay_dbbec8a14196
BANK-TXN-10186,14531.96,2026-08-31,Razorpay Settlement for pay_ffd87d3a4d03
BANK-TXN-10187,7481.23,2026-09-01,Razorpay Settlement for pay_4a95f49eac8d
BANK-TXN-10188,12828.01,2026-08-25,Razorpay Settlement for pay_86407bae0335
BANK-TXN-10189,9235.76,2026-08-17,Razorpay Settlement for pay_6bc5bdda9c62
BANK-TXN-10190,9976.88,2026-08-04,Razorpay Settlement for pay_29f8b77ebb73
BANK-TXN-10191,11210.37,2026-08-23,Razorpay Settlement for pay_3fde4f1aee30
BANK-TXN-10192,10122.53,2026-08-04,Razorpay Settlement for pay_37f82341b3f0
BANK-TXN-10193,14385.81,2026-08-25,Razorpay Settlement for pay_8c92a8bc20bc
BANK-TXN-10194,13299.27,2026-08-08,Razorpay Settlement for pay_5ba8e69567c9
BANK-TXN-10195,5381.18,2026-08-27,Razorpay Settlement for pay_6f8992e7aeae
BANK-TXN-10196,8404.23,2026-08-09,Razorpay Settlement for pay_ec94e3d2d552
BANK-TXN-10197,12826.66,2026-08-07,Razorpay Settlement for pay_1a7142b255bc
BANK-TXN-10198,3563.66,2026-09-01,Razorpay Settlement for pay_cf15dbe579bc
BANK-TXN-10199,13233.77,2026-08-11,Razorpay Settlement for pay_d06d52f1af24
BANK-TXN-10200,1267.3,2026-08-23,Razorpay Settlement for pay_ceecd9433e23
BANK-TXN-10201,10208.31,2026-08-12,Razorpay Settlement for pay_66aca5b7fda5
BANK-TXN-10202,12572.77,2026-08-11,Razorpay Settlement for pay_b1d6830009d9
BANK-TXN-10203,8533.08,2026-08-14,Razorpay Settlement for pay_72babe35abc8
BANK-TXN-10204,4177.06,2026-08-28,Razorpay Settlement for pay_b2350c6e4869
BANK-TXN-10205,13309.87,2026-08-25,Razorpay Settlement for pay_58620bad9ef7
BANK-TXN-10206,11827.22,2026-08-27,Razorpay Settlement for pay_cc5873a7af96
BANK-TXN-10207,10026.29,2026-08-08,Razorpay Settlement for pay_e8e4e07763bb
BANK-TXN-10208,767.78,2026-08-06,Razorpay Settlement for pay_5dca4f12b653
BANK-TXN-10209,2101.99,2026-08-20,Razorpay Settlement for pay_d2a82589f97a
BANK-TXN-10210,3108.32,2026-08-25,Razorpay Settlement for pay_bf5170f20f05
BANK-TXN-10211,5089.96,2026-08-12,Razorpay Settlement for pay_58f56c5f5392
BANK-TXN-10212,11134.21,2026-09-01,Razorpay Settlement for pay_8860a0b91317
BANK-TXN-10213,4031.71,2026-08-27,Razorpay Settlement for pay_72a277d79e3b
BANK-TXN-10214,9947.63,2026-08-14,Razorpay Settlement for pay_6a0c737c2e77
BANK-TXN-10215,9983.83,2026-08-22,Razorpay Settlement for pay_c51a7af9fe61
BANK-TXN-10216,13470.87,2026-08-21,Razorpay Settlement for pay_d74221a7a8fc
BANK-TXN-10217,6929.74,2026-08-05,Razorpay Settlement for pay_1a3fbea5e1b3
BANK-TXN-10218,853.71,2026-08-15,Razorpay Settlement for pay_e71823df51e6
BANK-TXN-10219,3601.54,2026-08-17,Razorpay Settlement for pay_d2a0afd0262e
BANK-TXN-10220,13965.82,2026-08-16,Razorpay Settlement for pay_04fabd490bff
BANK-TXN-10221,13038.04,2026-08-26,Razorpay Settlement for pay_da081b64fb3e
BANK-TXN-10222,13816.03,2026-08-18,Razorpay Settlement for pay_5f4058cb1710
BANK-TXN-10223,6626.83,2026-08-24,Razorpay Settlement for pay_05119aec509b
BANK-TXN-10224,5523.83,2026-08-13,Razorpay Settlement for pay_b59c4aa0047f
BANK-TXN-10225,14238.87,2026-08-14,Razorpay Settlement for pay_90ea427b8ecd
BANK-TXN-10226,9471.21,2026-08-23,Razorpay Settlement for pay_54b638800e82
BANK-TXN-10227,14537.86,2026-08-27,Razorpay Settlement for pay_07652c0b70e7
BANK-TXN-10228,8700.9,2026-08-28,Razorpay Settlement for pay_91113b8a8610
BANK-TXN-10229,13257.3,2026-08-26,Razorpay Settlement for pay_11473cc5f318
BANK-TXN-10230,8031.29,2026-08-29,Razorpay Settlement for pay_c4d2b5e10a48
BANK-TXN-10231,411.53,2026-08-23,Razorpay Settlement for pay_425351576a81
BANK-TXN-10232,4043.8,2026-08-12,Razorpay Settlement for pay_6dd02b4e195a
BANK-TXN-10233,11011.13,2026-08-16,Razorpay Settlement for pay_9e4a8bfae725
BANK-TXN-10234,8806.53,2026-08-26,Razorpay Settlement for pay_0409109730bb
BANK-TXN-10235,10743.94,2026-08-09,Razorpay Settlement for pay_c7e984372240
BANK-TXN-10236,14679.5,2026-08-22,Razorpay Settlement for pay_7eca8705fce1
BANK-TXN-10237,10479.51,2026-08-23,Razorpay Settlement for pay_f456ca559618
BANK-TXN-10238,9018.74,2026-08-30,Razorpay Settlement for pay_167d4f9d1881
BANK-TXN-10239,8686.13,2026-08-10,Razorpay Settlement for pay_dc768acb6b1a
BANK-TXN-10240,6776.69,2026-08-22,Razorpay Settlement for pay_eb04b91bd6f1
BANK-TXN-10241,12564.9,2026-08-28,Razorpay Settlement for pay_08a9786174ce
BANK-TXN-10242,5111.87,2026-08-16,Razorpay Settlement for pay_10e5db381913
BANK-TXN-10243,4729.21,2026-08-16,Razorpay Settlement for pay_32b17742ab0c
BANK-TXN-10244,10157.65,2026-08-10,Razorpay Settlement for pay_28f0f66f0ad1
BANK-TXN-10245,6459.93,2026-08-04,Razorpay Settlement for pay_138e38713b24
BANK-TXN-10246,8702.09,2026-08-07,Razorpay Settlement for pay_8830386070a8
BANK-TXN-10247,12866.8,2026-08-05,Razorpay Settlement for pay_695cb146bd29
BANK-TXN-10248,14241.65,2026-09-01,Razorpay Settlement for pay_99c117c314aa
BANK-TXN-10249,3281.56,2026-08-06,Razorpay Settlement for pay_a92d4e84157a
BANK-TXN-10250,12457.3,2026-08-29,Razorpay Settlement for pay_07a8d0ca6cb2
BANK-TXN-10251,3423.0,2026-08-26,Razorpay Settlement for pay_0b307a7f3120
BANK-TXN-10252,9985.87,2026-08-19,Razorpay Settlement for pay_4df5128165eb
BANK-TXN-10253,10254.1,2026-09-01,Razorpay Settlement for pay_60b9ef1b2b98
BANK-TXN-10254,4677.51,2026-08-11,Razorpay Settlement for pay_6bd7ea80c12a
BANK-TXN-10255,2273.72,2026-08-02,Razorpay Settlement for pay_cbd2480e6445
BANK-TXN-10256,14291.13,2026-08-07,Razorpay Settlement for pay_c4ee17a0d338
BANK-TXN-10257,6285.25,2026-08-18,Razorpay Settlement for pay_d47df216a7c5
BANK-TXN-10258,4900.85,2026-08-13,Razorpay Settlement for pay_bbcd8bbcaebe
BANK-TXN-10259,9157.13,2026-08-06,Razorpay Settlement for pay_6974fedf31ae
BANK-TXN-10260,7240.03,2026-08-17,Razorpay Settlement for pay_7542191b054d
BANK-TXN-10261,7627.08,2026-08-10,Razorpay Settlement for pay_08d18d9374d9
BANK-TXN-10262,10036.77,2026-08-05,Razorpay Settlement for pay_c9b79b2f9dc7
BANK-TXN-10263,3394.4,2026-08-23,Razorpay Settlement for pay_4209108d16b8
BANK-TXN-10264,11325.63,2026-08-08,Razorpay Settlement for pay_4725e9a5027b
BANK-TXN-10265,7394.89,2026-08-12,Razorpay Settlement for pay_7dfd6e8d63e9
BANK-TXN-10266,10402.04,2026-08-06,Razorpay Settlement for pay_2a8f6c4ce09f
BANK-TXN-10267,6522.93,2026-08-15,Razorpay Settlement for pay_e97171481d66
BANK-TXN-10268,6422.34,2026-08-29,Razorpay Settlement for pay_d368211478eb
BANK-TXN-10269,1866.48,2026-08-22,Razorpay Settlement for pay_262696d1e715
BANK-TXN-10270,12263.7,2026-08-08,Razorpay Settlement for pay_eefbb77c20ed
BANK-TXN-10271,4680.12,2026-08-04,Razorpay Settlement for pay_32c0f994aac9
BANK-TXN-10272,7600.05,2026-08-12,Razorpay Settlement for pay_a720b5cc0952
BANK-TXN-10273,11454.42,2026-08-18,Razorpay Settlement for pay_95cc5c5e746e
BANK-TXN-10274,2338.09,2026-09-01,Razorpay Settlement for pay_1efc212d78a5
BANK-TXN-10275,8933.19,2026-08-10,Razorpay Settlement for pay_00fdab745298
BANK-TXN-10276,6925.18,2026-09-02,Razorpay Settlement for pay_e227e0b79945
BANK-TXN-10277,9410.37,2026-09-01,Razorpay Settlement for pay_bc1b4e30bd88
BANK-TXN-10278,6574.32,2026-08-22,Razorpay Settlement for pay_00d2b97122a1
BANK-TXN-10279,4179.87,2026-08-22,Razorpay Settlement for pay_ecd08836ba5d
BANK-TXN-10280,6893.11,2026-08-18,Razorpay Settlement for pay_c84008267018
BANK-TXN-10281,9546.24,2026-08-13,Razorpay Settlement for pay_fad41dab5b4e
BANK-TXN-10282,6907.17,2026-08-21,Razorpay Settlement for pay_387f0ca988bd
BANK-TXN-10283,2926.22,2026-08-31,Razorpay Settlement for pay_b5d4cc848abe
BANK-TXN-10284,1697.19,2026-08-06,Razorpay Settlement for pay_0b2368a32fab
BANK-TXN-10285,2698.79,2026-08-04,Razorpay Settlement for pay_d3bd7b7f3f97
BANK-TXN-10286,7777.94,2026-08-16,Razorpay Settlement for pay_4c8b3fad7725
BANK-TXN-10287,9346.38,2026-08-21,Razorpay Settlement for pay_226e3c0818b7
BANK-TXN-10288,9881.61,2026-08-12,Razorpay Settlement for pay_b9ae39f38be3
BANK-TXN-10289,8937.57,2026-08-26,Razorpay Settlement for pay_189b77d376c7
BANK-TXN-10290,2212.88,2026-08-05,Razorpay Settlement for pay_7e26894375ba
BANK-TXN-10291,9799.61,2026-09-01,Razorpay Settlement for pay_7baa5894d323
BANK-TXN-10292,8302.61,2026-08-24,Razorpay Settlement for pay_1bbc0ac8079b
BANK-TXN-10293,12219.22,2026-08-07,Razorpay Settlement for pay_fe651ea0a509
BANK-TXN-10294,5443.96,2026-08-23,Razorpay Settlement for pay_347b4a13b6eb
BANK-TXN-10295,13940.98,2026-08-07,Razorpay Settlement for pay_d9a3ffeb6e79
BANK-TXN-10296,1315.2,2026-08-09,Razorpay Settlement for pay_9d5573a12608
BANK-TXN-10297,10909.29,2026-08-27,Razorpay Settlement for pay_8c83c908b35f
BANK-TXN-10298,9257.24,2026-08-08,Razorpay Settlement for pay_63952edf5509
BANK-TXN-10299,5479.8,2026-08-16,Razorpay Settlement for pay_04bd7490ffa6
BANK-TXN-10300,11052.77,2026-08-21,Razorpay Settlement for pay_dca2d6a5636e
BANK-TXN-10301,14201.01,2026-08-19,Razorpay Settlement for pay_3dcc8f112e17
BANK-TXN-10302,13933.18,2026-08-08,Razorpay Settlement for pay_7b1268cbaa6b
BANK-TXN-10303,5734.68,2026-08-26,Razorpay Settlement for pay_8f3895ac2c49
BANK-TXN-10304,8966.04,2026-08-28,Razorpay Settlement for pay_d23a4218b3d7
BANK-TXN-10305,5580.06,2026-08-22,Razorpay Settlement for pay_b88f594e4958
BANK-TXN-10306,2004.33,2026-08-30,Razorpay Settlement for pay_53e0b58166f3
BANK-TXN-10307,13326.56,2026-08-07,Razorpay Settlement for pay_ccf9c3396607
BANK-TXN-10308,3416.44,2026-08-15,Razorpay Settlement for pay_70d64bf8a6d0
BANK-TXN-10309,968.44,2026-08-31,Razorpay Settlement for pay_8a7623cb0a5b
